name,link,rating,wattage,picture,keyword
SAMSUNG XE303C12 B Grade Chromebook Samsung Exynos 5250 (1.70 GHz) 2 GB Memory 16 GB SSD 11.6 Chrome OS,https://www.newegg.com/Product/Product.aspx?Item=N82E16834132100&cm_re=google_laptops-_-34-132-100-_-Product,,,images10.newegg.com/ProductImageCompressAll300/34-132-100-03.jpg,google laptops/n
Samsung XE303C12 Exynos 5 Dual-Core 1.7GHz 2GB 16GB 11.6 LED Chromebook,https://www.newegg.com/Product/Product.aspx?Item=9SIA22F4KG5656&cm_re=google_laptops-_-1TS-0002-00061-_-Product,,,images10.newegg.com/ProductImageCompressAll300/A10V_1_2014110371641924.jpg,google laptops/n
Acer 13.3 Chromebook Laptop 2GB 16GB | CB5-311-T9B0,https://www.newegg.com/Product/Product.aspx?Item=9SIA4DY4RA2511&cm_re=google_laptops-_-9SIA4DY4RA2511-_-Product,,,images10.newegg.com/ProductImageCompressAll300/A15T_1_20150212227200993.jpg,google laptops/n
Acer CP5-471-312N Chromebook Intel Core i3 6th Gen 6100U (2.30 GHz) 8 GB LPDDR3 Memory 32 GB Flash SSD 14.0  Chrome OS,https://www.newegg.com/Product/Product.aspx?Item=N82E16834315837&cm_re=google_laptops-_-34-315-837-_-Product,,45,images10.newegg.com/NeweggImage/ProductImageCompressAll300/34-315-837-S02.jpg,google laptops/n
SAMSUNG XE303C12-A01US Chromebook Samsung Exynos 1.70 GHz 2 GB Memory 16 GB SSD 11.6 Google Chrome OS,https://www.newegg.com/Product/Product.aspx?Item=N82E16834131975&cm_re=google_laptops-_-34-131-975-_-Product,,40,images10.newegg.com/ProductImageCompressAll300/34-131-975-03.jpg,google laptops/n
HP Laptop-HP-N8J80UA Chromebook Intel Celeron N2940 (1.83 GHz) 4 GB Memory 16 GB SSD 14.0 Chrome OS,https://www.newegg.com/Product/Product.aspx?Item=N82E16834266679&cm_re=google_laptops-_-34-266-679-_-Product,,,images10.newegg.com/ProductImageCompressAll300/34-266-679-03.jpg,google laptops/n
Super Power Supply® DC Laptop Car Adapter Charger with USB Port for ASUS CHROMEBOX-M004U M075U M025U M020U CN60 MINI google Chrome OS box PC Desktop HDTV BOX Google Desktop Computer Mini Battery Plug,https://www.newegg.com/Product/Product.aspx?Item=9SIA3M335H8689&cm_re=google_laptops-_-9SIA3M335H8689-_-Product,,,images10.newegg.com/ProductImageCompressAll300/A3M3_1308083745528307241oC9iym0Uz.jpg,google laptops/n
Acer C720-2827 Chromebook Intel Celeron 2955U (1.40 GHz) 2 GB Memory 16 GB SSD 11.6 Chrome OS,https://www.newegg.com/Product/Product.aspx?Item=9SIA0AJ2H15950&cm_re=google_laptops-_-9SIA0AJ2H15950-_-Product,,Cannot compute wattage!,images10.newegg.com/ProductImageCompressAll300/34-314-635-05.jpg,google laptops/n
HP Pavilion 14-Q010DX Chromebook Intel Celeron 2955U (1.40 GHz) 2 GB Memory 16 GB SSD 14.0 Chrome OS,https://www.newegg.com/Product/Product.aspx?Item=9SIA0AJ2661722&cm_re=google_laptops-_-9SIA0AJ2661722-_-Product,,Cannot compute wattage!,images10.newegg.com/ProductImageCompressAll300/34-258-455-01.jpg,google laptops/n
Toshiba CB30-A3120 13.3 Chromebook with Intel Celeron 2955U Dual Core 1.4Ghz CPU 2GB DDR3L RAM 16GB SSD + 100GB Google Drive (Cloud Storage) Bluetooth 4.0 HDMI Out Google Chrome OS,https://www.newegg.com/Product/Product.aspx?Item=9SIA0AJ2330001&cm_re=google_laptops-_-9SIA0AJ2330001-_-Product,,Cannot compute wattage!,images10.newegg.com/ProductImageCompressAll300/34-216-791-05.jpg,google laptops/n
rooCASE Dual Station Folio Case Cover for Google Nexus 10 - Black - Synthetic Leather - 10.9 Height x 7.7 Width x 0.7 Depth,https://www.newegg.com/Product/Product.aspx?Item=9SIA22F3UF5152&cm_re=google_laptops-_-9SIA22F3UF5152-_-Product,,,images10.newegg.com/ProductImageCompressAll300/A22F_1_20160209637564801.jpg,google laptops/n
Dell 11.6 Celeron N2840 Processor Dual Core 2.16GHz 16GB eMMC Solid State Drive  GRADE A REFURB Chromebook Model XDGJH-REFA,https://www.newegg.com/Product/Product.aspx?Item=9SIA1K64X83951&cm_re=google_laptops-_-2S3-0007-00044-_-Product,,,images10.newegg.com/ProductImageCompressAll300/A1K6_131212189572329453syeoj68sx8.jpg,google laptops/n
SAMSUNG XE500C21-AZ2FR Chromebook Intel Atom N570 (1.66 GHz) 2 GB Memory 16 GB SSD 12.1 Chrome OS,https://www.newegg.com/Product/Product.aspx?Item=N82E16834132065&cm_re=google_laptops-_-34-132-065-_-Product,,,images10.newegg.com/NeweggImage/ProductImageCompressAll300/34-132-065-01.jpg,google laptops/n
Acer CB3-531-C4A5 Chromebook Intel Celeron N2830 (2.16 GHz) 2 GB Memory 16 GB SSD 15.6 Chrome OS (Manufacturer Recertified),https://www.newegg.com/Product/Product.aspx?Item=9SIA4DY59C1272&cm_re=google_laptops-_-34-315-227-_-Product,,45,images10.newegg.com/NeweggImage/ProductImageCompressAll300/34-315-227-03.jpg,google laptops/n
SAMSUNG Chromebook 3 XE500C13-K01US Chromebook Intel Celeron N3050 (1.60 GHz) 2 GB Memory 16 GB eMMC SSD 11.6  Chrome OS,https://www.newegg.com/Product/Product.aspx?Item=N82E16834132136&cm_re=google_laptops-_-34-132-136-_-Product,,26,images10.newegg.com/NeweggImage/ProductImageCompressAll300/34-132-136-S01.jpg,google laptops/n
Acer Chromebook CB3-111-C8UB Intel Celeron N2830 (2.16 GHz) 2 GB Memory Intel HD Graphics 11.6 Chrome OS,https://www.newegg.com/Product/Product.aspx?Item=9SIA0AJ3644250&cm_re=google_laptops-_-9SIA0AJ3644250-_-Product,,45,images10.newegg.com/ProductImageCompressAll300/1TS-000B-00149-01.jpg,google laptops/n
HP NE5-1198 C Grade Chromebook 11 Samsung Exynos 5250 (1.70 GHz) 2 GB Memory 16 GB SSD 11.6 Chrome OS,https://www.newegg.com/Product/Product.aspx?Item=N82E16834265214&cm_re=google_laptops-_-34-265-214-_-Product,,,images10.newegg.com/ProductImageCompressAll300/34-265-214-05.jpg,google laptops/n
Acer CB5-312T-K5X4 Chromebook 2.10 GHz 4 GB LPDDR3 Memory 32GB Flash SSD 13.3 Chrome OS,https://www.newegg.com/Product/Product.aspx?Item=N82E16834315816&cm_re=google_laptops-_-34-315-816-_-Product,,45,images10.newegg.com/NeweggImage/ProductImageCompressAll300/34-315-816-S02.jpg,google laptops/n
