link,picture,name,price,section,materials,keyword,score
https://www.uniqlo.com/us/en/mens-disney-project-packable-hooded-jacket-169367.html?dwvar_169367_color=COL16&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_16_169367?$detail$,Men's Disney Project Packable Hooded Jacket,49.90,men,['100% Nylon'],jackets,99.63315333847605
https://www.uniqlo.com/us/en/men-u-denim-work-jacket-195584.html?dwvar_195584_color=COL64&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_64_195584?$detail$,MEN U DENIM WORK JACKET,69.90,men,"['100% Cotton', '50% Polyester', '50% Cotton']",jackets,10.991388531714795
https://www.uniqlo.com/us/en/women-u-collarless-blouson-193699.html?dwvar_193699_color=COL43&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_43_193699?$detail$,WOMEN U COLLARLESS BLOUSON,49.90,women,['100% Cotton'],jackets,10.499999920312389
https://www.uniqlo.com/us/en/women-u-denim-long-jacket-193702.html?dwvar_193702_color=COL68&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_68_193702?$detail$,WOMEN U DENIM LONG JACKET,69.90,women,['100% Cotton'],jackets,10.499999920312389
https://www.uniqlo.com/us/en/boys-blocktech-full-zip-parka-189553.html?dwvar_189553_color=COL09&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_09_189553?$detail$,BOYS BLOCKTECH FULL ZIP PARKA,39.90,boy,['100% Polyester'],jackets,67.56316397864259
https://www.uniqlo.com/us/en/kids-light-pocketable-parka-181648.html?dwvar_181648_color=COL45&amp;cgid=,https://uniqlo.scene7.com/is/image/UNIQLO/goods_45_181648?$detail$,KIDS LIGHT POCKETABLE PARKA,29.90,,['100% Polyester'],jackets,67.56316397864259
