picture,price,link,material,score,name,section,brand,keyword
http://nord.imgix.net/Zoom/15/_100129555.jpg?fit=fill&bg=FFF&fm=jpg&trim=color&trimcolor=FFF&trimtol=20&w=380&h=583,149.95,https://nordstrom.com/s/vince-camuto-kensa-peep-toe-bootie-women-nordstrom-exclusive/4516106?origin=keywordsearch-personalizedsort&fashioncolor=ALMOND%20BEIGE%20NUBUCK%20LEATHER,,,Kensa Peep Toe Bootie (Women) (Nordstrom Exclusive),Women,Nordstorm,Shoes
http://nord.imgix.net/Zoom/1/_100216301.jpg?fit=fill&bg=FFF&fm=jpg&trim=color&trimcolor=FFF&trimtol=20&w=380&h=583,59.95,https://nordstrom.com/s/vans-classic-slip-on-sneaker-women/4174558?origin=keywordsearch-personalizedsort&fashioncolor=ROSEWATER,,,Classic Slip-On Sneaker (Women),Shoes,Nordstorm,Shoes
http://nord.imgix.net/Zoom/10/_100396670.jpg?fit=fill&bg=FFF&fm=jpg&trim=color&trimcolor=FFF&trimtol=20&w=380&h=583,195.00,https://nordstrom.com/s/tory-burch-miller-flip-flop-women/2963432?origin=keywordsearch-personalizedsort&fashioncolor=NANTUCKET%20RED%20%2F%20WHITE,,,'Miller' Flip Flop (Women),Women,Nordstorm,Shoes
http://nord.imgix.net/Zoom/7/_9788727.jpg?fit=fill&bg=FFF&fm=jpg&trim=color&trimcolor=FFF&trimtol=20&w=380&h=583,675.00,https://nordstrom.com/s/christian-louboutin-so-kate-pointy-toe-pump/3908037?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,,,'So Kate' Pointy Toe Pump,Women,Nordstorm,Shoes
http://nord.imgix.net/Zoom/3/_12526363.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,65.00,https://nordstrom.com/s/wacoal-red-carpet-convertible-strapless-bra/3236610?origin=keywordsearch-personalizedsort&fashioncolor=PECAN,91% nylon  9% spandex with 100% polyester lining,6.12,Red Carpet Convertible Strapless Bra,Women,Nordstorm,Underwear & Loungewear
http://nord.imgix.net/Zoom/16/_9527816.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,28.00,https://nordstrom.com/s/nordstrom-lingerie-convertible-plunge-bra/2918750?origin=keywordsearch-personalizedsort&fashioncolor=NUDE,83% polyester  17% spandex,6.12,Convertible Plunge Bra,Women,Nordstorm,Underwear & Loungewear
http://nord.imgix.net/Zoom/14/_100405594.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,28.00,https://nordstrom.com/s/calvin-klein-modern-cotton-collection-cotton-blend-racerback-bralette/3691473?origin=keywordsearch-personalizedsort&fashioncolor=GREY%20HEATHER%20BRIGHT%20FLASH,53% cotton  35% modal  12% elastane.,6.12,'Modern Cotton Collection' Cotton Blend Racerback Bralette,Women,Nordstorm,Underwear & Loungewear
http://nord.imgix.net/Zoom/1/_100114621.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,40.80,https://nordstrom.com/s/natori-feathers-underwire-contour-bra/3122001?origin=keywordsearch-personalizedsort&fashioncolor=BRIDAL%20BLUSH%2F%20IRON%20GREY,90% nylon  10% spandex or 54% nylon  37% polyester  9% spandex,6.12,Feathers Underwire Contour Bra,Women,Nordstorm,Underwear & Loungewear
http://nord.imgix.net/Zoom/0/_100426540.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,20.00,https://nordstrom.com/s/free-people-lace-racerback-bralette/4589354?origin=keywordsearch-personalizedsort&fashioncolor=PINK,93% nylon  7% spandex,6.12,Lace Racerback Bralette,Women,Nordstorm,Underwear & Loungewear
http://nord.imgix.net/Zoom/17/_10109097.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,18.00,https://nordstrom.com/s/honeydew-intimates-lucy-open-gusset-briefs/3952611?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,90% nylon  10% spandex,6.12,Lucy Open Gusset Briefs,Women,Nordstorm,Underwear & Loungewear
