picture,price,link,material,score,name,category,brand,keyword
http://nord.imgix.net/Zoom/0/_100161300.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,130.00,https://nordstrom.com/s/nike-windrunner-tech-fleece-hoodie/4270351?origin=keywordsearch-personalizedsort&fashioncolor=SEAWEED%2F%20HEATHER%2F%20BLACK,70% cotton  30% polyester.,6.12,'Windrunner' Tech Fleece Hoodie,Men,Nordstorm,Hoodies & Sweatshirts
http://nord.imgix.net/Zoom/12/_100153452.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,575.00,https://nordstrom.com/s/canada-goose-hybridge-lite-hoody-slim-fit-packable-jacket/3509958?origin=keywordsearch-personalizedsort&fashioncolor=RED%2F%20BLACK,100% nylon.,6.12,'Hybridge™ Lite Hoody' Slim Fit Packable Jacket,Men,Nordstorm,Hoodies & Sweatshirts
http://nord.imgix.net/Zoom/13/_13034773.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,24.98,https://nordstrom.com/s/1901-denny-zip-hoodie/4314425?origin=keywordsearch-personalizedsort&fashioncolor=NAVY%20HEATHER,65% polyester  35% cotton,6.12,Denny Zip Hoodie,Men,Nordstorm,Hoodies & Sweatshirts
http://nord.imgix.net/Zoom/6/_13159806.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,314.00,https://nordstrom.com/s/comme-des-garcons-play-zip-up-hoodie/3609773?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,100% polyester,54.5,PLAY Zip-Up Hoodie,Men,Nordstorm,Hoodies & Sweatshirts
http://nord.imgix.net/Zoom/13/_10340493.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,52.50,https://nordstrom.com/s/topman-ripped-stretch-skinny-fit-jeans/4020758?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,99% cotton  1% elastane.,6.12,Ripped Stretch Skinny Fit Jeans,Men,Nordstorm,Pants
http://nord.imgix.net/Zoom/7/_100132127.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,75.00,https://nordstrom.com/s/topman-ripped-stretch-skinny-jeans/4547180?origin=keywordsearch-personalizedsort&fashioncolor=LIGHT%20WASH%20DENIM,99% cotton  1% elastane,6.12,Ripped Stretch Skinny Jeans,Men,Nordstorm,Pants
http://nord.imgix.net/Zoom/14/_100280594.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,178.00,https://nordstrom.com/s/ag-graduate-sud-slim-straight-leg-pants/3645155?origin=keywordsearch-personalizedsort&fashioncolor=FOREST%20BROWN,97% cotton  3% elastane,6.12,Graduate SUD Slim Straight Leg Pants,Men,Nordstorm,Pants
http://nord.imgix.net/Zoom/17/_8248497.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,188.00,https://nordstrom.com/s/ag-graduate-slim-straight-leg-jeans-robinson/3476830?origin=keywordsearch-personalizedsort&fashioncolor=ROBINSON,98% cotton  2% polyurethane,6.12,Graduate Slim Straight Leg Jeans (Robinson),Men,Nordstorm,Pants
http://nord.imgix.net/Zoom/10/_9724830.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,98.00,https://nordstrom.com/s/bonobos-weekday-warriors-non-iron-straight-leg-cotton-pants/3302561?origin=keywordsearch-personalizedsort&fashioncolor=FRIDAY%20GREYS,100% cotton.,6.12,'Weekday Warriors' Non-Iron Straight Leg Cotton Pants,Men,Nordstorm,Pants
http://nord.imgix.net/Zoom/8/_100394388.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,88.00,https://nordstrom.com/s/bonobos-straight-fit-washed-chinos/3302523?origin=keywordsearch-personalizedsort&fashioncolor=STEELY,100% cotton.,6.12,Straight Fit Washed Chinos,Men,Nordstorm,Pants
http://nord.imgix.net/Zoom/1/_13159981.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,125.00,https://nordstrom.com/s/comme-des-garcons-play-heart-face-graphic-t-shirt/3609528?origin=keywordsearch-personalizedsort&fashioncolor=WHITE,100% cotton,6274.5,PLAY Heart Face Graphic T-Shirt,Men,Nordstorm,T-shirts & Tank tops
http://nord.imgix.net/Zoom/12/_11568612.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,100.00,https://nordstrom.com/s/comme-des-garcons-play-crewneck-t-shirt/4174695?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,100% cotton,6274.5,PLAY Crewneck T-Shirt,Men,Nordstorm,T-shirts & Tank tops
http://nord.imgix.net/Zoom/1/_13301641.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,145.00,https://nordstrom.com/s/vince-long-sleeve-henley/4457672?origin=keywordsearch-personalizedsort&fashioncolor=PEWTER,100% cotton,6274.5,Long Sleeve Henley,Men,Nordstorm,T-shirts & Tank tops
http://nord.imgix.net/Zoom/7/_13160047.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,103.00,https://nordstrom.com/s/comme-des-garcons-play-logo-graphic-t-shirt/3997619?origin=keywordsearch-personalizedsort&fashioncolor=WHITE,100% cotton,6274.5,PLAY Logo Graphic T-Shirt,Men,Nordstorm,T-shirts & Tank tops
http://nord.imgix.net/Zoom/0/_100444700.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,10.00,https://nordstrom.com/s/topman-slim-fit-crewneck-t-shirt-2-for-16/4055375?origin=keywordsearch-personalizedsort&fashioncolor=OFF%20WHITE,Open Blue is 64% polyester  36% cotton. Mid Red is 51% cotton  49% polyester. Frost is 99% cotton  1% polyester. All other colors are 100% cotton.,6.12,Slim Fit Crewneck T-Shirt (2 for $16),Men,Nordstorm,T-shirts & Tank tops
http://nord.imgix.net/Zoom/19/_8774579.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,125.00,https://nordstrom.com/s/comme-des-garcons-play-x-ray-heart-logo-t-shirt/3609688?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,100% cotton,6274.5,PLAY X-Ray Heart Logo T-Shirt,Men,Nordstorm,T-shirts & Tank tops
http://nord.imgix.net/Zoom/8/_13189488.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,80.00,https://nordstrom.com/s/topman-lightweight-bomber-jacket/4466552?origin=keywordsearch-personalizedsort&fashioncolor=OLIVE,100% polyester.,6.12,Lightweight Bomber Jacket,Men,Nordstorm,Basics
http://nord.imgix.net/Zoom/1/_13205621.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,125.00,https://nordstrom.com/s/billy-reid-smith-polo/4396838?origin=keywordsearch-personalizedsort&fashioncolor=INDIGO,53% cotton  47% polyester,6.12,Smith Polo,Men,Nordstorm,Basics
http://nord.imgix.net/Zoom/7/_13458027.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,85.00,https://nordstrom.com/s/schott-nyc-classic-fit-sport-shirt/4451885?origin=keywordsearch-personalizedsort&fashioncolor=TICKING%20STRIPE,100% cotton,6274.5,Classic Fit Sport Shirt,Men,Nordstorm,Basics
http://nord.imgix.net/Zoom/15/_100061535.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,88.00,https://nordstrom.com/s/tommy-bahama-quick-wick-henley/4508051?origin=keywordsearch-personalizedsort&fashioncolor=BURNT%20COPPER%20HEATHER,65% cotton  31% polyester  4% spandex,6.12,Quick Wick Henley,Men,Nordstorm,Basics
http://nord.imgix.net/Zoom/3/_100470723.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,225.00,https://nordstrom.com/s/ted-baker-london-wingwai-vest/4577865?origin=keywordsearch-personalizedsort&fashioncolor=BRIGHT%20BLUE,64% polyester  34% viscose  2% elastane; 100% polyester back,6.12,Wingwai Vest,Men,Nordstorm,Basics
http://nord.imgix.net/Zoom/5/_13327285.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,48.00,https://nordstrom.com/s/z-a-k-brand-slim-fit-t-shirt/4470394?origin=keywordsearch-personalizedsort&fashioncolor=HEATHER%20GREY,100% cotton,6274.5,Slim Fit T-Shirt,Men,Nordstorm,Basics
http://nord.imgix.net/Zoom/4/_13325124.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,99.90,https://nordstrom.com/s/michael-kors-wool-blend-double-breasted-peacoat/3815683?origin=keywordsearch-personalizedsort&fashioncolor=OFFICER%20NAVY,60% wool  30% polyester  10% rayon; Brown Heather and Heather Grey are 60% wool  30% polyester  5% nylon  5% other fibers; Loden Green is 63% wool  32% polyester  5% other fibers.,6.12,Wool Blend Double Breasted Peacoat,Men,Nordstorm,Jackets & Suits
http://nord.imgix.net/Zoom/0/_100418840.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,169.90,https://nordstrom.com/s/barbour-chelsea-regular-fit-quilted-jacket/3785737?origin=keywordsearch-personalizedsort&fashioncolor=BLACK,100% polyester.,6.12,'Chelsea' Regular Fit Quilted Jacket,Men,Nordstorm,Jackets & Suits
http://nord.imgix.net/Zoom/5/_100037525.jpg?fit=fill&bg=FFF&fm=jpg&w=380&h=583,150.00,https://nordstrom.com/s/alpha-industries-nasa-ma-1-bomber-jacket/4532735?origin=keywordsearch-personalizedsort&fashioncolor=REPLICA%20BLUE,100% nylon,35.0,NASA MA-1 Bomber Jacket,Men,Nordstorm,Jackets & Suits
